model_name,firmware_version,Datasheet download_link,Visited URL,firmware_details,download_link,source_url
Archer AX73 ,V2.6,https://static.tp-link.com/upload/product-overview/2022/202208/20220810/Archer AX73(EU&US)2.0_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-ax73/#Firmware,Archer AX73(US)_V2.6_1.0.12 Build 20231023,https://static.tp-link.com/upload/firmware/2023/202311/20231121/Archer AX73_V2_231023.zip,https://www.tp-link.com//us/support/download/archer-ax73/
Archer AX55 Pro ,V2.6,https://static.tp-link.com/upload/product-overview/2023/202308/20230808/Archer AX55 Pro(US)2.0&2.6_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-ax55-pro/#Firmware,Archer AX55 Pro(US)_V2.6_1.0.4 Build 20231010,https://static.tp-link.com/upload/firmware/2023/202312/20231201/Archer AX55 Pro(US)_V2_231010.zip,https://www.tp-link.com//us/support/download/archer-ax55-pro/
Archer AX4400 ,V2.6,,https://www.tp-link.com//us/support/download/archer-ax4400/#Firmware,Archer AX4400(US)_V2.6_1.2.1 Build 20230626,https://static.tp-link.com/upload/firmware/2023/202307/20230712/Archer AX4400(US)_V2_230626.zip,https://www.tp-link.com//us/support/download/archer-ax4400/
Archer AX1800 ,V4.6,https://static.tp-link.com/upload/product-overview/2023/202304/20230428/Archer AX1800(USW)4.6_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-ax1800/#Firmware,Archer AX1800(USW)_V4.6_1.1.0 Build 20230725,https://static.tp-link.com/upload/firmware/2023/202308/20230818/Archer AX1800(US)_V4.6_230725.zip,https://www.tp-link.com//us/support/download/archer-ax1800/
Archer AX3000 Pro ,V1.60,https://static.tp-link.com/upload/product-overview/2023/202305/20230512/Archer AX3000 Pro(US)1.0&1.6_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-ax3000-pro/#Firmware,Archer AX3000 Pro(US)_V1.6_1.1.0 Build 20230522,https://static.tp-link.com/upload/firmware/2023/202306/20230612/Archer AX3000 Pro(US)_V1_230522.zip,https://www.tp-link.com//us/support/download/archer-ax3000-pro/
Archer C2700 ,,https://static.tp-link.com/2020/202007/20200717/Archer C2700(US)1.0 Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-c2700/#Firmware,Archer C2700(US)_V1_1.0.6 Build 20230911,https://static.tp-link.com/upload/firmware/2023/202310/20231011/Archer C2700(US)_V1_230911.zip,https://www.tp-link.com//us/support/download/archer-c2700/
Archer AX20 ,V4.6,https://static.tp-link.com/upload/product-overview/2023/202304/20230411/Archer AX20(US)4.6_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-ax20/#Firmware,Archer AX20(US)_V4.6_1.1.0 Build 20230725,https://static.tp-link.com/upload/firmware/2023/202308/20230814/Archer AX20(US)_V4.6_230725.zip,https://www.tp-link.com//us/support/download/archer-ax20/
Archer C80 ,V2.26,https://static.tp-link.com/upload/product-overview/2022/202205/20220507/Archer C80(EU&US) 1.0 & 2.0 & 2.20_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-c80/#Firmware,Archer C80(US)_V2.26_1.13.2 Build 230824,https://static.tp-link.com/upload/firmware/2023/202310/20231030/Archer C80(US)_V2.2_230824.zip,https://www.tp-link.com//us/support/download/archer-c80/
Archer C3200 ,,https://static.tp-link.com/2018/201809/20180917/Archer C3200 Datasheet 1.0.pdf,https://www.tp-link.com//us/support/download/archer-c3200/#Firmware,USB_Printer_Controller_Utility_Mac ,,https://www.tp-link.com//us/support/download/archer-c3200/
Archer C5400 ,V2,https://static.tp-link.com/2019/201901/20190118/Archer C5400 Datasheet 2.0.pdf,https://www.tp-link.com//us/support/download/archer-c5400/#Firmware,USB_Printer_Controller_Utility_Mac ,https://static.tp-link.com/upload/firmware/2023/202309/20230915/Archer C5400(US)_V2_230907.zip,https://www.tp-link.com//us/support/download/archer-c5400/
TL-WR842ND ,V2,https://static.tp-link.com/res/down/doc/TL-WR842ND_2.0.pdf,https://www.tp-link.com//us/support/download/tl-wr842nd/#Firmware,USB_Printer_Controller_Utility_Mac ,,https://www.tp-link.com//us/support/download/tl-wr842nd/
Archer C4000 ,V3,https://static.tp-link.com/2020/202010/20201013/Archer C4000(US)3.0_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-c4000/#Firmware,Archer C4000(US)_V3_1.0.6 Build 20231010,https://static.tp-link.com/upload/firmware/2023/202311/20231101/Archer C4000(US)_V3_231010.zip,https://www.tp-link.com//us/support/download/archer-c4000/
Archer C5400X ,V1.60,,https://www.tp-link.com//us/support/download/archer-c5400x/#Firmware,Archer C5400X(US)_V1.6_1.1.6 Build 20231010,https://static.tp-link.com/upload/firmware/2023/202311/20231101/Archer C5400X(US)_V1_231010.zip,https://www.tp-link.com//us/support/download/archer-c5400x/
Archer C3150 ,V2,,https://www.tp-link.com//us/support/download/archer-c3150/#Firmware,USB_Printer_Controller_Utility_Mac ,https://static.tp-link.com/upload/firmware/2023/202310/20231013/Archer_C3150(US)_V2_230919.zip,https://www.tp-link.com//us/support/download/archer-c3150/
AD7200 ,V2,https://static.tp-link.com/2018/201809/20180912/AD7200 2.0 Datasheet.pdf,https://www.tp-link.com//us/support/download/ad7200/#Firmware,USB_Printer_Controller_Utility_Mac ,https://static.tp-link.com/upload/firmware/2022/202207/20220720/AD7200(EU_US)_V2.0_210430.zip,https://www.tp-link.com//us/support/download/ad7200/
Archer C54 ,V1.60,https://static.tp-link.com/upload/product-overview/2022/202205/20220518/Archer C54(EU&US) 1.0_datasheet.pdf,https://www.tp-link.com//us/support/download/archer-c54/#Firmware,Archer C54(US)_V1.6_1.12.0 Build 221216,https://static.tp-link.com/upload/firmware/2023/202302/20230207/Archer C54(US)_1.0_221216.zip,https://www.tp-link.com//us/support/download/archer-c54/
Archer A20 ,V3.6,,https://www.tp-link.com//us/support/download/archer-a20/#Firmware,USB_Printer_Controller_Utility_Mac  ,https://static.tp-link.com/upload/firmware/2023/202311/20231101/Archer A20(US)_V3_231010.zip,https://www.tp-link.com//us/support/download/archer-a20/
Archer C2300 ,V2,https://static.tp-link.com/2020/202010/20201015/Archer C2300(EU&US)2.0_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-c2300/#Firmware,Archer C2300(US)_V2_1.0.2 Build 20230911,https://static.tp-link.com/upload/firmware/2023/202309/20230918/Archer C2300(US)_V2_230911.zip,https://www.tp-link.com//us/support/download/archer-c2300/
Archer A10 ,V2.6,https://static.tp-link.com/2020/202001/20200117/Archer A10(EU&US) 1.0_1.8 Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-a10/#Firmware,,,https://www.tp-link.com//us/support/download/archer-a10/
Archer C2600 ,,https://static.tp-link.com/res/pmpo/files/Archer_C2600/Archer C2600 Datasheet 1.0.pdf,https://www.tp-link.com//us/support/download/archer-c2600/#Firmware,USB_Printer_Controller_Utility_Mac ,,https://www.tp-link.com//us/support/download/archer-c2600/
Archer A9 ,,https://static.tp-link.com/2018/201810/20181026/Archer A9(EU&US)6.0 Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-a9/#Firmware,Archer A9(US)_V6_210315,https://static.tp-link.com/firmware/2021/202106/20210610/Archer A9(US)_V6_210315.zip,https://www.tp-link.com//us/support/download/archer-a9/
Archer C90 ,,https://static.tp-link.com/2019/201903/20190311/Archer C90(US)6.0_6.8_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-c90/#Firmware,Archer C90(US)_V6_210315,https://static.tp-link.com/upload/firmware/2022/202201/20220110/Archer C90(US)_V6_210315.zip,https://www.tp-link.com//us/support/download/archer-c90/
Archer A7 ,,https://static.tp-link.com/2019/201905/20190522/Archer A7(EU&US) 5.0_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-a7/#Firmware,USB_Printer_Controller_Utility_Mac ,https://static.tp-link.com/upload/firmware/2022/202211/20221108/Archer A7(US)_V5_220714.zip,https://www.tp-link.com//us/support/download/archer-a7/
Archer C1900 ,V2,https://static.tp-link.com/2018/201809/20180927/Archer C1900(US) Datasheet 2.0.pdf,https://www.tp-link.com//us/support/download/archer-c1900/#Firmware,USB_Printer_Controller_Utility_Mac ,https://static.tp-link.com/upload/firmware/2022/202209/20220913/Archer C1900(US)_V2.0_220524.zip,https://www.tp-link.com//us/support/download/archer-c1900/
Archer C9 ,V5.80,,https://www.tp-link.com//us/support/download/archer-c9/#Firmware,USB_Printer_Controller_Utility_Windows.,,https://www.tp-link.com//us/support/download/archer-c9/
TL-WR700N ,,https://static.tp-link.com/resources/document/TL-WR700N_datasheet.zip,https://www.tp-link.com//us/support/download/tl-wr700n/#Firmware,TL-WR700N_V1_140415_Walmart,,https://www.tp-link.com//us/support/download/tl-wr700n/
TL-WR842N ,,,https://www.tp-link.com//us/support/download/tl-wr842n/#Firmware,USB_Printer_Controller_Utility_Mac ,,https://www.tp-link.com//us/support/download/tl-wr842n/
Archer C6 ,,https://static.tp-link.com/2020/202004/20200401/Archer C6(US)2.0_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-c6/#Firmware,Archer C6(US)_V2_210226,https://static.tp-link.com/firmware/2021/202106/20210609/Archer C6(US)_V2_210226.zip,https://www.tp-link.com//us/support/download/archer-c6/
Archer A6 ,V4.6,https://static.tp-link.com/upload/product-overview/2022/202212/20221208/Archer A6(EU&US) 4.0_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-a6/#Firmware,Archer A6(US)_V4.6_1.13.2 Build 230824,https://static.tp-link.com/upload/firmware/2023/202310/20231030/Archer A6(US)_V4_230824.zip,https://www.tp-link.com//us/support/download/archer-a6/
Archer C7 ,V5.80,,https://www.tp-link.com//us/support/download/archer-c7/#Firmware,Archer C7(US)_V5.8_1.2.1 Build 20220715,https://static.tp-link.com/upload/firmware/2022/202211/20221108/Archer C7(US)_V5.0_220715.zip,https://www.tp-link.com//us/support/download/archer-c7/
Archer C1200 ,V3,https://static.tp-link.com/2018/201809/20180917/Archer C1200(EU&US) 2.0 & Archer C1200(US) 3.0 Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-c1200/#Firmware,USB_Printer_Controller_Utility_Mac ,https://static.tp-link.com/upload/firmware/2022/202201/20220111/Archer C1200(US)_V3_211219.zip,https://www.tp-link.com//us/support/download/archer-c1200/
Archer C8 ,V4,https://static.tp-link.com/2018/201809/20180917/Archer C8 4.0 Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-c8/#Firmware,USB_Printer_Controller_Utility_Mac ,https://static.tp-link.com/upload/firmware/2022/202209/20220913/Archer C8(US)_V4.0_220510.zip,https://www.tp-link.com//us/support/download/archer-c8/
Archer C59 ,V4.80,,https://www.tp-link.com//us/support/download/archer-c59/#Firmware,Archer C59(US)_V4.8_1.13.2 Build 230824,https://static.tp-link.com/upload/firmware/2023/202311/20231116/Archer C59(US)_V4_230824.zip,https://www.tp-link.com//us/support/download/archer-c59/
Archer C20 ,V5.80,,https://www.tp-link.com//us/support/download/archer-c20/#Firmware,Archer C20(US)_V5.8_230924,https://static.tp-link.com/upload/firmware/2023/202312/20231201/Archer C20(US)_V5_230924.zip,https://www.tp-link.com//us/support/download/archer-c20/
Touch P5 ,,https://static.tp-link.com/2018/201809/20180917/Touch P5 (UN) 1.0.pdf,https://www.tp-link.com//us/support/download/touch-p5/#Firmware,USB_Printer_Controller_Utility_Mac ,,https://www.tp-link.com//us/support/download/touch-p5/
Archer A5 ,,,https://www.tp-link.com//us/support/download/archer-a5/#Firmware,Archer C50&A5(US)_V5_200407,https://static.tp-link.com/2020/202005/20200527/Archer C50(US)_V5_200407.zip,https://www.tp-link.com//us/support/download/archer-a5/
TL-WR743ND ,V2,https://static.tp-link.com/resources/document/TL-WR743ND_V2_Datasheet.pdf,https://www.tp-link.com//us/support/download/tl-wr743nd/#Firmware,TL-WR743ND_V2_131129,,https://www.tp-link.com//us/support/download/tl-wr743nd/
Archer C900 ,,https://static.tp-link.com/2018/201805/20180503/Archer C900(US)1.0-datasheet.pdf,https://www.tp-link.com//us/support/download/archer-c900/#Firmware,Archer C900(US)_V1_161130,,https://www.tp-link.com//us/support/download/archer-c900/
Archer C2 ,V5,https://static.tp-link.com/2017/201712/20171227/Archer C2-5.0-datasheet.pdf,https://www.tp-link.com//us/support/download/archer-c2/#Firmware,Archer C2(US)_V5_170531,,https://www.tp-link.com//us/support/download/archer-c2/
Archer C50 ,V5,https://static.tp-link.com/2019/201901/20190110/Archer C50(US)5.0_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-c50/#Firmware,Archer C50&A5(US)_V5_200407,https://static.tp-link.com/2020/202005/20200527/Archer C50(US)_V5_200407.zip,https://www.tp-link.com//us/support/download/archer-c50/
TL-WR902AC ,V4.6,https://static.tp-link.com/upload/product-overview/2023/202306/20230601/TL-WR902AC(EU&US)4.0_Datasheet.pdf,https://www.tp-link.com//us/support/download/tl-wr902ac/#Firmware,TL-WR902AC(US)_V4.6_230504,https://static.tp-link.com/upload/firmware/2023/202305/20230523/TL-WR902AC_US_V4_230504.zip,https://www.tp-link.com//us/support/download/tl-wr902ac/
